epoch,step,train_loss,val_acc,val_loss
0,49,1.33063805103302,,
0,99,0.8258157968521118,,
0,149,0.7232808470726013,,
0,199,0.4745986759662628,,
0,249,0.3724546432495117,,
0,299,0.41230446100234985,,
0,349,0.3152146637439728,,
0,399,0.2027084231376648,,
0,449,0.23405782878398895,,
0,499,0.27787670493125916,,
0,549,0.2688223123550415,,
0,599,0.3315691649913788,,
0,649,0.24297836422920227,,
0,699,0.19260025024414062,,
0,749,0.2890752851963043,,
0,799,0.2815612256526947,,
0,820,,0.9506666660308838,0.12947268784046173
1,849,0.24978770315647125,,
1,899,0.2646377384662628,,
1,949,0.2548583745956421,,
1,999,0.17810390889644623,,
1,1049,0.17504829168319702,,
1,1099,0.20894251763820648,,
1,1149,0.15282413363456726,,
1,1199,0.24566611647605896,,
1,1249,0.17310184240341187,,
1,1299,0.12939490377902985,,
1,1349,0.30229803919792175,,
1,1399,0.2016686648130417,,
1,1449,0.25453174114227295,,
1,1499,0.057973653078079224,,
1,1549,0.16890904307365417,,
1,1599,0.12245374172925949,,
1,1641,,0.9632889032363892,0.09943655878305435
2,1649,0.19333991408348083,,
2,1699,0.09988591074943542,,
2,1749,0.17952243983745575,,
2,1799,0.0870070531964302,,
2,1849,0.10991173982620239,,
2,1899,0.15828433632850647,,
2,1949,0.14629293978214264,,
2,1999,0.1852012425661087,,
2,2049,0.25158026814460754,,
2,2099,0.10739222913980484,,
2,2149,0.15201514959335327,,
2,2199,0.1360565423965454,,
2,2249,0.16766780614852905,,
2,2299,0.1170358806848526,,
2,2349,0.10431316494941711,,
2,2399,0.1678268313407898,,
2,2449,0.04608358442783356,,
2,2462,,0.9735999703407288,0.07651957124471664
3,2499,0.16812936961650848,,
3,2549,0.10106056928634644,,
3,2599,0.3265070617198944,,
3,2649,0.03336906060576439,,
3,2699,0.1571587175130844,,
3,2749,0.15909774601459503,,
3,2799,0.06516306102275848,,
3,2849,0.10469944775104523,,
3,2899,0.11317969858646393,,
3,2949,0.11260397732257843,,
3,2999,0.2693910300731659,,
3,3049,0.09874419867992401,,
3,3099,0.08658164739608765,,
3,3149,0.07420197129249573,,
3,3199,0.11469443142414093,,
3,3249,0.11544479429721832,,
3,3283,,0.9774222373962402,0.06719071418046951
4,3299,0.09833688288927078,,
4,3349,0.04833437502384186,,
4,3399,0.10805517435073853,,
4,3449,0.09583438187837601,,
4,3499,0.13048887252807617,,
4,3549,0.09209690243005753,,
4,3599,0.0838625580072403,,
4,3649,0.1315341591835022,,
4,3699,0.08659347891807556,,
4,3749,0.1264602541923523,,
4,3799,0.17008568346500397,,
4,3849,0.05502490699291229,,
4,3899,0.08548554033041,,
4,3949,0.05453915894031525,,
4,3999,0.11269708722829819,,
4,4049,0.06645538657903671,,
4,4099,0.04731221869587898,,
4,4104,,0.9791111350059509,0.06074518337845802
